epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.3594,1.69501,1.86127,1.86625,0.51713,0.33587,0.36602,0.19258,2.12832,9.17518,2.58233,0.000264348,0.000264348,0.0672209
2,136.553,1.59942,1.60423,1.80268,0.46997,0.475,0.39371,0.21181,1.75918,7.02585,2.06046,0.000530994,0.000530994,0.0341542
3,175.475,1.55418,1.48178,1.77121,0.75262,0.51257,0.59689,0.30792,1.71172,2.20712,1.96123,0.000797556,0.000797556,0.00108741
4,219.049,1.55716,1.50332,1.77532,0.74558,0.66254,0.75157,0.4102,1.62137,2.02663,1.78902,0.000799719,0.000799719,0.000799719
5,260.319,1.49898,1.4093,1.73329,0.80904,0.69783,0.77925,0.41088,1.61427,1.14313,1.84502,0.0007995,0.0007995,0.0007995
6,299.436,1.48566,1.37679,1.71642,0.76912,0.77609,0.8295,0.48215,1.49256,1.23972,1.67804,0.000799219,0.000799219,0.000799219
7,338.563,1.43867,1.31079,1.67966,0.86793,0.77863,0.87836,0.5393,1.39398,0.92629,1.59536,0.000798875,0.000798875,0.000798875
8,377.687,1.41802,1.26519,1.66141,0.86571,0.79348,0.87263,0.51029,1.41011,1.04408,1.56534,0.000798469,0.000798469,0.000798469
9,416.858,1.38595,1.20511,1.62754,0.83004,0.82391,0.88869,0.56108,1.31882,0.93639,1.52488,0.000798001,0.000798001,0.000798001
10,455.828,1.36009,1.16322,1.60659,0.81649,0.7163,0.82543,0.50002,1.43015,1.33212,1.60595,0.00079747,0.00079747,0.00079747
11,498.224,1.3464,1.16617,1.6049,0.86973,0.84348,0.91615,0.60852,1.18591,0.8397,1.42567,0.000796877,0.000796877,0.000796877
12,536.799,1.32301,1.11642,1.57809,0.86661,0.8587,0.92227,0.61803,1.17293,0.75537,1.39356,0.000796223,0.000796223,0.000796223
13,575.422,1.30991,1.10076,1.56954,0.86145,0.8337,0.89635,0.61393,1.12129,0.74308,1.37251,0.000795506,0.000795506,0.000795506
14,614.009,1.28756,1.08132,1.55598,0.87644,0.87893,0.92049,0.52881,1.50316,0.86138,1.66541,0.000794728,0.000794728,0.000794728
15,652.679,1.26418,1.05618,1.54016,0.88426,0.89684,0.93361,0.66992,1.06706,0.6604,1.34998,0.000793887,0.000793887,0.000793887
16,691.551,1.24936,1.03904,1.51732,0.90497,0.88261,0.94328,0.65506,1.13289,0.6696,1.36686,0.000792986,0.000792986,0.000792986
17,730.083,1.2352,1.01367,1.4983,0.90954,0.88587,0.9464,0.66295,1.09558,0.66086,1.35297,0.000792023,0.000792023,0.000792023
